"Class","Order","Family","Genus","Species","CV1_1","CV1_2","CV1_3","CV1_4","CV2_1","CV2_2","CV2_3","CV2_4","CV3_1","CV3_2","CV3_3","CV3_4","CR1_1","CR1_2","CR1_3","CR1_4","CR2_1","CR2_2","CR2_3","CR2_4","CR3_1","CR3_2","CR3_3","CR3_4","CX1_1","CX1_2","CX1_3","CX1_4","CX2_1","CX2_2","CX2_3","CX2_4","CX3_1","CX3_2","CX3_3","CX3_4","PQ1_1","PQ1_2","PQ1_3","PQ1_4","PQ2_1","PQ2_2","PQ2_3","PQ2_4","PQ3_1","PQ3_2","PQ3_3","PQ3_4","CAL1_1","CAL1_2","CAL1_3","CAL1_4","CAL2_1","CAL2_2","CAL2_3","CAL2_4","CAL3_1","CAL3_2","CAL3_3","CAL3_4","BAN1_1","BAN1_2","BAN1_3","BAN1_4","BAN2_1","BAN2_2","BAN2_3","BAN2_4","BAN3_1","BAN3_2","BAN3_3","BAN3_4"
"Actinopterygii","Anguilliformes","Congridae","Conger","Conger conger",4917,2332,13025,0,3587,3082,0,1792,0,0,1590,3969,0,352,0,0,324,0,0,0,2281,3623,404,2987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9562,188,0,0,0,0,0,2945,15427,0,0,0,0,0,374,282,0,329,957,401,0,0,0,0,30,0,0,0,0,0,0,0,785,0
"Actinopterygii","Anguilliformes","Muraenidae","Muraena","Muraena helena",2735,0,929,3367,0,5261,0,0,15631,0,0,0,0,11855,36425,0,1720,3143,580,0,149,3536,0,2459,0,0,9677,0,0,0,0,664,9689,1731,19348,11501,153,2484,0,1837,0,0,0,19390,0,2469,1720,0,0,2590,1544,0,0,1642,0,533,287,900,0,0,0,0,0,0,26021,4766,0,4078,0,0,1069,0
"Actinopterygii","Atheriniformes","Atherinidae","Atherina","Atherina boyeri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii","Aulopiformes","Synodontidae","Synodus","Synodus saurus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii","Beloniformes","Belonidae","Belone","Belone belone",0,0,0,0,299,0,0,0,6362,11031,297,469,0,16283,3522,12959,809,625,0,0,271,4734,796,1206,0,0,0,74,0,0,0,0,1267,0,0,0,0,0,0,11,2418,2890,0,0,0,0,1423,0,0,0,0,0,1127,239,0,233,0,285,0,156,0,0,41,0,0,0,0,9663,471,4091,5770,0
"Actinopterygii","Beloniformes","Exocoetidae","Cheilopogon","Cheilopogon heterurus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,716,0,0,0,0,330,0,14,0,0,0,0,0,0,210,0,0,0,125,0,22,0,0,0,0,1642,0,0,0,0,0,0,8039,0
"Actinopterygii","Clupeiformes","Clupeidae","Sardina","Sardina pilchardus",33418,82843,96408,51869,31520,27957,15577,23396,15210,16244,11023,9371,9529,2655,51106,21631,1199,0,0,0,27526,58026,22224,32394,226757,142684,111701,106992,131691,64513,23227,113717,0,10930,9862,5870,1895,0,0,319,9897,0,0,14762,0,1493,3475,0,0,0,0,0,30796,167540,0,5469,0,0,7995,0,2734,992,11556,31839,54552,18012,18994,5152,20849,18836,4569,0
"Actinopterygii","Clupeiformes","Clupeidae","Sardinella","Sardinella aurita",0,0,0,0,0,0,0,0,0,0,0,0,28274,0,0,3756,6593,9753,3549,860,20730,6765,4946,6992,1618,13245,11057,1038,0,0,0,5275,0,0,3366,0,0,0,0,0,0,0,0,1046,0,0,0,0,15458,18174,0,11399,2187,9740,0,26934,6470,9746,9871,2431,0,0,0,0,0,11370,0,0,2177,21152,0,0
"Actinopterygii","Clupeiformes","Engraulidae","Engraulis","Engraulis encrasicolus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10102,0,0,2432,0,0,0,0,0,618,0,0,22837,0,0,16817,2048,10902,0,3710,0,0,0,0,4482,1405,0,0,2622,222,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii","Gadiformes","Gadidae","Micromesistius","Micromesistius poutassou",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii","Gadiformes","Gadidae","Trisopterus","Trisopterus capelanus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius merluccius",0,0,0,0,0,0,0,0,0,0,0,0,135,107,0,0,0,0,69,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,13,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii","Lophiiformes","Lophiidae","Lophius","Lophius budegassa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13509,0,0,0,0
"Actinopterygii","Mugiliformes","Mugilidae","Chelon","Chelon auratus",0,0,0,0,770,0,2751,1010,0,0,0,0,0,30134,52771,2929,4335,4689,0,0,1018,1404,2412,0,4408,0,13153,18583,9066,1361,14405,20993,6066,0,6343,4124,0,1782,0,367,3294,0,0,0,0,0,0,0,1084,5780,0,6529,728,1408,0,0,2740,11745,4565,79,4637,0,0,0,0,4491,0,0,0,0,0,0
"Actinopterygii","Mugiliformes","Mugilidae","Chelon","Chelon labrosus",4138,20609,28223,6803,8247,6838,10112,3521,4173,7361,3242,1688,2844,2088,4746,6558,781,103,1363,1731,466,387,1162,1731,3802,815,1189,2517,0,1550,605,0,57,1333,8174,1015,65,10555,4499,253,144,0,0,28,0,0,0,0,7291,10206,12624,7446,0,0,0,0,0,0,0,0,4235,7777,0,12350,4374,5989,0,1710,3189,8166,67,0
"Actinopterygii","Mugiliformes","Mugilidae","Chelon","Chelon ramada",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1279,0,0,0,0,0,0,0,7780,0,0,0,0,2077,0,0,0,1759,0,4170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii","Mugiliformes","Mugilidae","Oedalechilus","Oedalechilus labeo",1402,0,7552,0,13069,11018,4232,10793,28941,44363,10932,23676,9089,41776,22778,2594,10897,9334,12478,16239,7216,15687,4252,8153,17255,9493,39926,20302,47805,57705,24939,18775,41250,74404,80802,67746,2358,2128,16976,6583,44639,4314,0,28158,16103,5498,7096,0,0,4165,0,4697,42568,23952,0,24043,18215,14999,23555,30497,52312,8059,638,39374,8259,33013,37352,15644,13968,7276,13197,13145
"Actinopterygii","Myctophiformes","Myctophidae","Myctophum","Myctophum punctatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15931,10248,1141,7617,0,4334,0,0,0,2426,0,8080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii","Perciformes","Apogonidae","Apogon","Apogon imberbis",8503,10155,0,7747,0,0,0,0,4601,0,617,0,0,0,0,0,0,0,666,0,0,0,0,0,0,27914,0,0,0,7079,0,0,0,0,0,5381,0,0,0,0,0,0,0,0,0,0,0,0,0,829,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,8009,0,0,0,0,0,0
"Actinopterygii","Perciformes","Blenniidae","Aidablennius","Aidablennius sphynx",0,0,7090,0,5805,33488,0,15125,12868,3375,3617,19156,24925,9717,0,0,7020,0,936,7567,22698,2835,4766,3885,0,0,22407,2630,8283,4029,0,0,38804,21493,72510,12665,0,10452,0,86,0,0,0,2628,98046,0,0,0,1696,4271,0,0,9724,2763,0,2392,1865,1277,1307,2094,0,0,0,0,0,4167,6123,0,38814,20428,23533,34485
"Actinopterygii","Perciformes","Blenniidae","Blennius","Blennius ocellaris",0,0,1058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii","Perciformes","Blenniidae","Lipophrys","Lipophrys trigloides",15299,8330,106740,20924,19301,37725,27642,19706,59115,48544,17722,10022,7106,6830,43629,0,17801,29025,41448,38110,25100,10310,23100,22444,0,1307,4090,23765,8729,5758,8168,37134,5870,10403,9008,552,98,2392,5576,3821,19349,0,0,9696,0,2746,527,0,1745,0,1676,7718,22167,295,0,35373,1550,5584,20801,2433,27490,15148,0,1561,1674,5573,0,5052,9499,5670,45300,34440
"Actinopterygii","Perciformes","Blenniidae","Parablennius","Parablennius gattorugine",0,0,5410,5277,0,1869,0,3622,1848,0,2072,0,0,20624,0,0,11719,3294,1821,1857,4684,21474,7707,2857,27936,19867,22183,1123,17872,44374,4682,6185,6397,18485,22124,0,3253,0,0,18671,0,0,0,0,0,1707,0,0,6566,0,0,1184,3053,4087,0,50801,13748,15071,11738,2366,3462,0,17538,497,0,418,8672,28512,14125,14581,4079,0
"Actinopterygii","Perciformes","Blenniidae","Parablennius","Parablennius sanguinolentus",0,0,0,0,0,13198,0,12593,22833,0,1509,0,0,15814,0,0,0,0,0,0,1667,12136,0,1037,0,6322,0,0,0,0,2832,0,0,0,0,1650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1023,0,10821,8632,12025,12172,6532,0,0,0,0,3090,0,18306,0,4728,0,0,22943
"Actinopterygii","Perciformes","Blenniidae","Parablennius","Parablennius pilicornis",0,0,0,0,0,0,0,0,0,0,0,0,0,2974,0,0,0,0,4605,3321,0,0,1223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4857,0,0,0,0,0,0,0,0,0,145,0,0,0,0,0,0,0,3465,59427,0,1711,3192,125596,0,0,3138,0,0
"Actinopterygii","Perciformes","Blenniidae","Salaria","Salaria pavo",0,0,0,0,0,0,0,0,5523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8699,0,0,0,0,0,0,0,0,13120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii","Perciformes","Carangidae","Seriola","Seriola dumerili",0,0,0,268,0,20580,0,0,0,0,0,2830,588,0,0,0,0,143,0,0,0,0,0,0,0,0,0,0,0,2984,1705,1534,0,0,0,0,0,3504,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii","Perciformes","Carangidae","Trachurus","Trachurus mediterraneus",1494,0,1714,1023,0,0,0,0,0,0,0,0,16958,7316,1356,7306,8760,7552,13135,16326,31778,21432,11498,29331,7476,16846,9486,13625,0,7410,0,0,2229,9000,1865,0,53,26443,6713,5488,0,0,358,5580,0,375,0,0,0,7191,2844,10102,4413,4515,837,4209,4851,2127,10296,2326,642,40,0,0,3954,2242,0,0,7908,0,0,0
"Actinopterygii","Perciformes","Gobiidae","Corcyrogobius","Corcyrogobius liechtensteini",0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii","Perciformes","Gobiidae","Gammogobius","Gammogobius steinitzi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii","Perciformes","Gobiidae","Gobius","Gobius incognitus",0,0,0,0,20,316,0,820,0,0,258,2452,0,223,0,1493,0,0,0,0,2585,1018,664,259,1368,0,0,0,536,303,0,0,980,0,0,190,0,0,0,0,0,0,0,0,0,253,0,0,0,383,0,474,893,0,213,1021,419,121,25,400,0,5188,47,111,3509,1925,0,0,883,0,6308,0
"Actinopterygii","Perciformes","Gobiidae","Gobius","Gobius cruentatus",0,167,0,0,1531,6344,0,3814,9362,0,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2282,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii","Perciformes","Gobiidae","Gobius","Gobius niger",0,0,0,0,2205,0,0,0,2684,0,0,0,0,2365,0,0,0,0,0,0,13635,9693,7005,4201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4080,0,0,0,0,0,0,2426,987,360,2511,0,0,1512,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii","Perciformes","Gobiidae","Gobius","Gobius paganellus",0,0,696,1400,2561,5471,0,5416,409,1246,387,4753,340,636,0,0,0,0,0,0,941,0,18,0,0,2858,0,0,0,0,0,0,374,976,1127,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,173,2484,16,0,0,0,79,0,0,813,0,28,0
"Actinopterygii","Perciformes","Gobiidae","Gobius","Gobius xanthocephalus",0,0,138,750,26,2642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,702,0,0,0,1648,0,0,465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,644,52,68,0,0,0,0,11,0,0,0,0,817,0,0,1078,0,845,0
"Actinopterygii","Perciformes","Gobiidae","Millerigobius","Millerigobius macrocephalus",0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,669,0,0,0,0,0,0,0,517,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0
"Actinopterygii","Perciformes","Gobiidae","Odondebuenia","Odondebuenia balearica",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii","Perciformes","Gobiidae","Pseudaphya","Pseudaphya ferreri",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii","Perciformes","Gobiidae","Zebrus","Zebrus zebrus",202,288,23507,849,298,3943,43,175,1562,243,52,2076,0,0,0,0,0,0,0,0,0,0,0,34,0,0,2644,0,4004,1302,15,0,40,0,482,3742,28,0,11052,0,0,0,0,0,0,0,0,0,0,0,0,0,374,0,468,0,687,0,0,110,0,0,0,0,0,37,0,0,0,0,28,0
"Actinopterygii","Perciformes","Gobiidae","Zosterisessor","Zosterisessor ophiocephalus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,52,311,11,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii","Perciformes","Labridae","Centrolabrus","Centrolabrus melanocercus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2893,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii","Perciformes","Labridae","Coris","Coris julis",16008,16663,20213,18667,6692,7110,1735,7872,9989,10004,8555,5487,9263,70280,91891,26830,11668,36010,8304,14202,12023,22601,8209,19341,17890,3198,11602,10646,40287,7384,7853,3974,12069,25657,8471,24790,485,11234,19775,6084,65674,0,0,74070,4679,3871,35768,0,0,0,0,0,0,184,1080586,43,0,737,0,562,24434,51055,280,1058,13521,10288,1612,24353,23579,212,5233,0
"Actinopterygii","Perciformes","Labridae","Ctenolabrus","Ctenolabrus rupestris",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,568,2693,638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Actinopterygii","Perciformes","Labridae","Symphodus","Symphodus melops",0,0,0,0,0,0,0,0,0,0,0,0,5582,0,0,0,481,0,4974,4548,2299,750,8082,801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,728,0,0,1918,435,611,126,0,1333,0,0,0,0,0,0,0,0,0,0
"Actinopterygii","Perciformes","Labridae","Symphodus","Symphodus ocellatus",30346,20404,27144,18606,3307,27471,9242,3788,4059,14923,10192,5001,0,0,0,0,2421,197,984,1265,1482,0,793,1335,0,671,6025,3736,25835,15258,11523,15038,34827,41198,30471,9850,2500,0,21999,1000,255,0,0,889,1402,21120,25633,0,398,0,0,3457,0,507,0,949,5459,6358,1291,280,12014,0,0,13750,0,702,0,0,0,0,6182,0
"Actinopterygii","Perciformes","Labridae","Symphodus","Symphodus tinca",20188,38435,40113,25448,16337,25172,17135,13099,20375,17684,1769,3368,14082,10597,5434,10426,20978,8827,9527,22378,10913,22875,19601,16334,20061,8975,35010,47390,52882,34621,2211,43649,36453,66905,103919,99473,127627,7689,37752,42841,27181,0,0,6201,88071,71255,92964,0,11501,11499,0,4619,3986,932,0,2585,11197,17979,8319,3264,23488,3086,16376,8828,64643,66489,69191,20763,4325,15506,63956,11805
"Actinopterygii","Perciformes","Labridae","Thalassoma","Thalassoma pavo",1225,0,11970,2540,0,4451,0,0,3313,17375,770,5447,0,0,0,0,0,1302,0,0,0,0,2758,0,0,0,3399,1452,4763,20137,18128,57598,6628,12175,13329,0,23601,1004,39591,9615,83474,0,1558,28447,0,0,0,0,6995,724,0,1464,2980,3127,0,1297,1170,1773,0,0,0,0,0,0,0,877,0,0,0,0,0,0
"Actinopterygii","Perciformes","Moronidae","Dicentrarchus","Dicentrarchus labrax",344,0,0,0,16094,44250,32759,25152,7086,652,0,0,1859,5410,2741,0,4365,5610,9978,8890,297,8301,5907,13603,790,29639,95426,7093,4537,0,956,0,23115,15742,18444,15414,144,4059,0,204,0,0,0,0,0,21569,24058,0,0,0,1462,0,7067,2447,129,166,77869,0,17983,22151,0,2876,0,0,0,5833,124976,25835,5512,5451,24059,10926
